dataset,top3_prediction,top3_ground_truth
smd_machine-1-3,"['OmniAnomaly', 'PCA', 'MCD']","['KMeansAD', 'OFA', 'TimesNet']"
smd_machine-1-4,"['OmniAnomaly', 'PCA', 'MCD']","['KMeansAD', 'OFA', 'FITS']"
smd_machine-1-6,"['OmniAnomaly', 'PCA', 'ALLM4TS']","['AutoEncoder', 'OCSVM', 'EIF']"
smd_machine-1-7,"['OmniAnomaly', 'PCA', 'MCD']","['KMeansAD', 'PCA', 'OmniAnomaly']"
smd_machine-1-8,"['OmniAnomaly', 'PCA', 'KMeansAD']","['USAD', 'CNN', 'LSTMAD']"
smd_machine-2-1,"['OmniAnomaly', 'PCA', 'ALLM4TS']","['OFA', 'OmniAnomaly', 'PCA']"
smd_machine-2-2,"['MCD', 'KMeansAD', 'PCA']","['RobustPCA', 'OmniAnomaly', 'PCA']"
smd_machine-2-3,"['OmniAnomaly', 'KMeansAD', 'PCA']","['KMeansAD', 'PCA', 'OmniAnomaly']"
smd_machine-2-4,"['OmniAnomaly', 'PCA', 'MCD']","['USAD', 'MCD', 'OmniAnomaly']"
smd_machine-2-5,"['OmniAnomaly', 'PCA', 'MCD']","['KMeansAD', 'USAD', 'LSTMAD']"
smd_machine-2-7,"['OmniAnomaly', 'KMeansAD', 'PCA']","['USAD', 'CBLOF', 'TranAD']"
smd_machine-2-9,"['KMeansAD', 'OmniAnomaly', 'PCA']","['AutoEncoder', 'KMeansAD', 'OCSVM']"
smd_machine-3-10,"['KMeansAD', 'OmniAnomaly', 'PCA']","['CBLOF', 'EIF', 'TranAD']"
smd_machine-3-2,"['OmniAnomaly', 'PCA', 'ALLM4TS']","['PCA', 'OmniAnomaly', 'OFA']"
smd_machine-3-3,"['OmniAnomaly', 'MCD', 'ALLM4TS']","['CBLOF', 'KNN', 'KMeansAD']"
smd_machine-3-5,"['OmniAnomaly', 'PCA', 'MCD']","['USAD', 'TranAD', 'CNN']"
smd_machine-3-6,"['OmniAnomaly', 'PCA', 'KMeansAD']","['MCD', 'CNN', 'EIF']"
svdb_800,"['OmniAnomaly', 'PCA', 'IForest']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_801,"['IForest', 'OmniAnomaly', 'TimesNet']","['PCA', 'OmniAnomaly', 'ALLM4TS']"
svdb_802,"['OmniAnomaly', 'PCA', 'USAD']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_803,"['OmniAnomaly', 'PCA', 'IForest']","['OmniAnomaly', 'PCA', 'ALLM4TS']"
svdb_804,"['PCA', 'OmniAnomaly', 'USAD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_805,"['OmniAnomaly', 'PCA', 'USAD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_806,"['IForest', 'OmniAnomaly', 'PCA']","['OFA', 'IForest', 'LSTMAD']"
svdb_807,"['OmniAnomaly', 'IForest', 'PCA']","['IForest', 'PCA', 'OmniAnomaly']"
svdb_808,"['OmniAnomaly', 'IForest', 'PCA']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_809,"['OmniAnomaly', 'PCA', 'IForest']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_810,"['OmniAnomaly', 'PCA', 'IForest']","['PCA', 'OmniAnomaly', 'ALLM4TS']"
svdb_811,"['ALLM4TS', 'OmniAnomaly', 'CNN']","['OFA', 'ALLM4TS', 'CNN']"
svdb_812,"['OmniAnomaly', 'PCA', 'USAD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_820,"['OmniAnomaly', 'PCA', 'IForest']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_821,"['OmniAnomaly', 'PCA', 'USAD']","['PCA', 'OmniAnomaly', 'CNN']"
svdb_822,"['OmniAnomaly', 'IForest', 'USAD']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_823,"['OmniAnomaly', 'IForest', 'PCA']","['OmniAnomaly', 'PCA', 'IForest']"
svdb_824,"['TimesNet', 'IForest', 'OmniAnomaly']","['OFA', 'TimesNet', 'PCA']"
svdb_825,"['ALLM4TS', 'OFA', 'CNN']","['CNN', 'FITS', 'LSTMAD']"
svdb_826,"['OmniAnomaly', 'PCA', 'CNN']","['OmniAnomaly', 'PCA', 'FITS']"
svdb_827,"['ALLM4TS', 'OFA', 'OmniAnomaly']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_828,"['OmniAnomaly', 'PCA', 'CNN']","['OFA', 'ALLM4TS', 'OmniAnomaly']"
svdb_829,"['ALLM4TS', 'PCA', 'CNN']","['OmniAnomaly', 'PCA', 'Donut']"
svdb_840,"['OmniAnomaly', 'TimesNet', 'IForest']","['OmniAnomaly', 'PCA', 'OFA']"
svdb_841,"['ALLM4TS', 'OFA', 'TimesNet']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_842,"['OmniAnomaly', 'PCA', 'IForest']","['OFA', 'LSTMAD', 'KMeansAD']"
svdb_843,"['OmniAnomaly', 'PCA', 'USAD']","['OFA', 'LSTMAD', 'TimesNet']"
svdb_844,"['OmniAnomaly', 'PCA', 'ALLM4TS']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_845,"['OmniAnomaly', 'PCA', 'USAD']","['OFA', 'KMeansAD', 'IForest']"
svdb_846,"['OmniAnomaly', 'PCA', 'IForest']","['OFA', 'ALLM4TS', 'KMeansAD']"
svdb_847,"['OmniAnomaly', 'PCA', 'IForest']","['OmniAnomaly', 'PCA', 'OFA']"
svdb_848,"['OmniAnomaly', 'PCA', 'IForest']","['KMeansAD', 'PCA', 'OmniAnomaly']"
svdb_849,"['IForest', 'OmniAnomaly', 'PCA']","['OFA', 'ALLM4TS', 'PCA']"
svdb_850,"['OmniAnomaly', 'IForest', 'PCA']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_851,"['OmniAnomaly', 'PCA', 'USAD']","['OmniAnomaly', 'PCA', 'ALLM4TS']"
svdb_852,"['IForest', 'OmniAnomaly', 'PCA']","['OFA', 'CNN', 'OmniAnomaly']"
svdb_853,"['IForest', 'OmniAnomaly', 'PCA']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_854,"['OmniAnomaly', 'IForest', 'PCA']","['IForest', 'OmniAnomaly', 'PCA']"
svdb_855,"['OmniAnomaly', 'PCA', 'IForest']","['OmniAnomaly', 'PCA', 'IForest']"
svdb_856,"['IForest', 'TimesNet', 'OmniAnomaly']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_857,"['ALLM4TS', 'OmniAnomaly', 'OFA']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_858,"['TimesNet', 'IForest', 'OmniAnomaly']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_859,"['OmniAnomaly', 'PCA', 'IForest']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_860,"['OmniAnomaly', 'PCA', 'USAD']","['PCA', 'OmniAnomaly', 'TimesNet']"
svdb_861,"['OmniAnomaly', 'PCA', 'IForest']","['IForest', 'PCA', 'OmniAnomaly']"
svdb_862,"['OFA', 'TimesNet', 'ALLM4TS']","['IForest', 'AnomalyTransformer', 'FITS']"
svdb_863,"['OmniAnomaly', 'IForest', 'PCA']","['CNN', 'PCA', 'OmniAnomaly']"
svdb_864,"['IForest', 'OmniAnomaly', 'PCA']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_865,"['PCA', 'OmniAnomaly', 'CNN']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_866,"['OmniAnomaly', 'PCA', 'ALLM4TS']","['OFA', 'ALLM4TS', 'KMeansAD']"
svdb_867,"['PCA', 'OmniAnomaly', 'IForest']","['OFA', 'KMeansAD', 'IForest']"
svdb_868,"['OmniAnomaly', 'PCA', 'CNN']","['IForest', 'CNN', 'OFA']"
svdb_869,"['OmniAnomaly', 'PCA', 'IForest']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_870,"['OmniAnomaly', 'PCA', 'ALLM4TS']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_871,"['IForest', 'TimesNet', 'OmniAnomaly']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_872,"['OmniAnomaly', 'PCA', 'CNN']","['OmniAnomaly', 'PCA', 'ALLM4TS']"
svdb_873,"['OmniAnomaly', 'ALLM4TS', 'PCA']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_874,"['OmniAnomaly', 'IForest', 'TimesNet']","['OFA', 'ALLM4TS', 'OmniAnomaly']"
svdb_875,"['OmniAnomaly', 'USAD', 'PCA']","['IForest', 'OFA', 'ALLM4TS']"
svdb_876,"['OmniAnomaly', 'PCA', 'IForest']","['FITS', 'IForest', 'Donut']"
svdb_877,"['OmniAnomaly', 'ALLM4TS', 'PCA']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_878,"['OmniAnomaly', 'PCA', 'IForest']","['OmniAnomaly', 'PCA', 'OFA']"
svdb_879,"['OmniAnomaly', 'PCA', 'IForest']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_880,"['OmniAnomaly', 'IForest', 'ALLM4TS']","['IForest', 'KMeansAD', 'OFA']"
svdb_881,"['OmniAnomaly', 'TimesNet', 'PCA']","['IForest', 'PCA', 'OmniAnomaly']"
svdb_882,"['OmniAnomaly', 'USAD', 'IForest']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_883,"['OmniAnomaly', 'USAD', 'IForest']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_884,"['OmniAnomaly', 'PCA', 'USAD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_885,"['OmniAnomaly', 'IForest', 'PCA']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_886,"['ALLM4TS', 'TimesNet', 'OFA']","['OFA', 'CNN', 'IForest']"
svdb_887,"['OmniAnomaly', 'IForest', 'PCA']","['PCA', 'OmniAnomaly', 'ALLM4TS']"
svdb_888,"['OmniAnomaly', 'PCA', 'TimesNet']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_889,"['OmniAnomaly', 'PCA', 'IForest']","['IForest', 'OmniAnomaly', 'PCA']"
svdb_890,"['OmniAnomaly', 'TimesNet', 'PCA']","['OmniAnomaly', 'PCA', 'OFA']"
svdb_891,"['PCA', 'OmniAnomaly', 'TimesNet']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_892,"['OmniAnomaly', 'PCA', 'ALLM4TS']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_893,"['PCA', 'OmniAnomaly', 'USAD']","['OmniAnomaly', 'PCA', 'CNN']"
svdb_894,"['PCA', 'OmniAnomaly', 'IForest']","['PCA', 'OmniAnomaly', 'OFA']"
cicids_2,"['PCA', 'KMeansAD', 'OmniAnomaly']","['KMeansAD', 'AutoEncoder', 'OCSVM']"
cicids_3,"['PCA', 'OmniAnomaly', 'KMeansAD']","['USAD', 'PCA', 'OmniAnomaly']"
cicids_5,"['KMeansAD', 'PCA', 'OmniAnomaly']","['OmniAnomaly', 'PCA', 'OFA']"
cicids_6,"['KMeansAD', 'PCA', 'OmniAnomaly']","['OCSVM', 'LOF', 'AutoEncoder']"
cicids_7,"['PCA', 'OmniAnomaly', 'KMeansAD']","['MCD', 'ALLM4TS', 'AutoEncoder']"
creditcard,"['LSTMAD', 'CNN', 'MCD']","['USAD', 'CNN', 'LSTMAD']"
metro_traffic-volume,"['KMeansAD', 'CNN', 'OmniAnomaly']","['TranAD', 'USAD', 'Donut']"
room-occupancy_1,"['ALLM4TS', 'OFA', 'KMeansAD']","['OCSVM', 'MCD', 'COPOD']"
room-occupancy,"['KMeansAD', 'ALLM4TS', 'OFA']","['ALLM4TS', 'Donut', 'AutoEncoder']"
swan_sf,"['OmniAnomaly', 'PCA', 'CNN']","['OFA', 'RobustPCA', 'OmniAnomaly']"
