Data,ALLM4TS,AnomalyTransformer,AutoEncoder,CBLOF,CNN,COPOD,Donut,EIF,FITS,HBOS,IForest,KMeansAD,KNN,LOF,LSTMAD,MCD,OCSVM,OFA,OmniAnomaly,PCA,RobustPCA,TimesNet,TranAD,USAD
MITDB_209,21.0,3.0,2.0,10.0,20.0,4.0,7.0,12.0,14.0,11.0,19.0,17.0,8.0,1.0,15.0,9.0,6.0,22.0,23.0,24.0,5.0,16.0,13.0,18.0
MITDB_210,19.0,1.0,2.0,8.0,18.0,6.0,3.0,14.0,12.0,13.0,20.0,21.0,9.0,4.0,15.0,11.0,7.0,17.0,24.0,23.0,5.0,10.0,16.0,22.0
MITDB_212,22.0,1.0,2.0,9.0,18.0,7.0,8.0,15.0,13.0,14.0,17.0,20.0,11.0,4.0,12.0,6.0,5.0,21.0,23.0,24.0,3.0,10.0,16.0,19.0
MITDB_213,22.0,2.0,1.0,9.0,18.0,7.0,6.0,13.0,16.0,11.0,17.0,19.0,8.0,3.0,12.0,10.0,4.0,20.0,23.0,24.0,5.0,14.0,15.0,21.0
MITDB_214,17.0,1.0,4.0,7.0,18.0,11.0,2.0,16.0,10.0,12.0,8.0,22.0,5.0,9.0,14.0,15.0,13.0,20.0,24.0,23.0,3.0,6.0,19.0,21.0
MITDB_215,21.0,3.0,1.0,10.0,20.0,4.0,8.0,14.0,13.0,12.0,19.0,18.0,11.0,2.0,15.0,7.0,5.0,22.0,23.0,24.0,6.0,16.0,9.0,17.0
MITDB_217,21.0,1.0,2.0,9.0,20.0,4.0,8.0,12.0,13.0,11.0,15.0,19.0,7.0,3.0,16.0,10.0,6.0,24.0,22.0,23.0,5.0,18.0,14.0,17.0
MITDB_219,23.0,2.0,1.0,9.0,21.0,4.0,10.0,13.0,16.0,11.0,18.0,15.0,8.0,3.0,14.0,6.0,5.0,24.0,20.0,22.0,7.0,19.0,12.0,17.0
MITDB_220,21.0,1.0,3.0,11.0,22.0,5.0,13.0,10.0,15.0,12.0,19.0,17.0,6.0,4.0,18.0,7.0,8.0,20.0,23.0,24.0,2.0,9.0,14.0,16.0
MITDB_221,15.0,1.0,2.0,9.0,20.0,12.0,5.0,16.0,6.0,14.0,11.0,21.0,4.0,8.0,17.0,10.0,13.0,18.0,24.0,23.0,3.0,7.0,19.0,22.0
MITDB_222,18.0,1.0,4.0,11.0,19.0,8.0,3.0,15.0,10.0,14.0,20.0,22.0,9.0,2.0,13.0,12.0,7.0,16.0,24.0,23.0,5.0,6.0,17.0,21.0
MITDB_223,8.0,3.0,4.0,6.0,12.0,18.0,1.0,14.0,7.0,17.0,20.0,22.0,5.0,11.0,16.0,13.0,10.0,19.0,23.0,24.0,2.0,9.0,15.0,21.0
MITDB_228,11.0,1.0,2.0,9.0,19.0,13.0,3.0,16.0,10.0,15.0,18.0,21.0,6.0,4.0,14.0,7.0,8.0,20.0,24.0,23.0,5.0,12.0,17.0,22.0
MITDB_230,21.0,2.0,8.0,9.0,19.0,1.0,4.0,10.0,14.0,11.0,20.0,16.0,6.0,3.0,18.0,12.0,7.0,24.0,22.0,23.0,5.0,15.0,13.0,17.0
MITDB_232,18.0,1.0,2.0,9.0,21.0,7.0,5.0,14.0,10.0,11.0,15.0,20.0,6.0,3.0,17.0,12.0,8.0,22.0,23.0,24.0,4.0,13.0,16.0,19.0
MITDB_233,14.0,1.0,2.0,9.0,19.0,12.0,3.0,17.0,6.0,13.0,10.0,22.0,5.0,7.0,16.0,15.0,11.0,18.0,24.0,23.0,4.0,8.0,20.0,21.0
MITDB_234,16.0,1.0,7.0,8.0,18.0,6.0,2.0,12.0,10.0,11.0,19.0,21.0,5.0,3.0,17.0,13.0,9.0,22.0,23.0,24.0,4.0,15.0,14.0,20.0
MSL_C-1,10.0,2.0,7.0,12.0,13.0,17.0,1.0,18.0,6.0,21.0,14.0,24.0,15.0,9.0,8.0,20.0,11.0,3.0,22.0,23.0,4.0,5.0,16.0,19.0
MSL_C-2,11.0,2.0,7.0,13.0,12.0,17.0,1.0,18.0,6.0,21.0,16.0,24.0,14.0,9.0,8.0,20.0,10.0,4.0,22.0,23.0,3.0,5.0,15.0,19.0
MSL_D-14,8.0,2.0,13.0,12.0,9.0,21.0,1.0,19.0,6.0,23.0,15.0,24.0,17.0,11.0,7.0,22.0,16.0,3.0,20.0,18.0,4.0,5.0,10.0,14.0
MSL_D-15,9.0,2.0,8.0,14.0,13.0,18.0,1.0,19.0,5.0,23.0,15.0,24.0,17.0,10.0,7.0,21.0,11.0,3.0,22.0,20.0,4.0,6.0,12.0,16.0
MSL_D-16,9.0,2.0,7.0,13.0,12.0,17.0,1.0,19.0,6.0,22.0,14.0,24.0,16.0,10.0,8.0,20.0,11.0,3.0,21.0,23.0,4.0,5.0,15.0,18.0
MSL_F-4,12.0,1.0,9.0,13.0,14.0,15.0,2.0,18.0,7.0,19.0,17.0,24.0,11.0,6.0,8.0,21.0,10.0,5.0,22.0,23.0,3.0,4.0,16.0,20.0
MSL_F-5,10.0,2.0,12.0,15.0,14.0,16.0,1.0,18.0,6.0,20.0,17.0,24.0,11.0,7.0,9.0,23.0,8.0,4.0,21.0,22.0,3.0,5.0,13.0,19.0
MSL_F-7,11.0,2.0,9.0,15.0,12.0,18.0,1.0,19.0,7.0,22.0,16.0,24.0,13.0,5.0,8.0,20.0,10.0,4.0,23.0,21.0,3.0,6.0,14.0,17.0
MSL_F-8,8.0,2.0,11.0,15.0,12.0,18.0,1.0,19.0,6.0,23.0,16.0,24.0,13.0,7.0,9.0,20.0,10.0,3.0,22.0,21.0,4.0,5.0,14.0,17.0
MSL_M-1,11.0,2.0,7.0,12.0,16.0,17.0,1.0,18.0,6.0,21.0,14.0,24.0,15.0,8.0,10.0,20.0,9.0,4.0,22.0,23.0,3.0,5.0,13.0,19.0
MSL_M-2,9.0,2.0,11.0,13.0,14.0,18.0,1.0,19.0,6.0,23.0,15.0,24.0,16.0,8.0,7.0,20.0,10.0,3.0,21.0,22.0,4.0,5.0,12.0,17.0
MSL_M-3,11.0,2.0,8.0,14.0,12.0,18.0,1.0,19.0,6.0,23.0,16.0,24.0,15.0,9.0,7.0,20.0,10.0,3.0,22.0,21.0,4.0,5.0,13.0,17.0
MSL_M-4,11.0,2.0,8.0,13.0,12.0,17.0,1.0,19.0,6.0,21.0,16.0,24.0,15.0,9.0,7.0,20.0,10.0,4.0,22.0,23.0,3.0,5.0,14.0,18.0
MSL_M-5,11.0,2.0,9.0,13.0,12.0,17.0,1.0,19.0,6.0,21.0,16.0,24.0,15.0,8.0,7.0,20.0,10.0,3.0,23.0,22.0,4.0,5.0,14.0,18.0
MSL_M-6,7.0,2.0,9.0,13.0,10.0,19.0,1.0,18.0,6.0,23.0,14.0,24.0,16.0,11.0,8.0,21.0,15.0,3.0,22.0,20.0,4.0,5.0,12.0,17.0
MSL_M-7,7.0,2.0,10.0,11.0,12.0,18.0,1.0,19.0,5.0,23.0,15.0,24.0,17.0,9.0,8.0,21.0,14.0,3.0,22.0,20.0,4.0,6.0,13.0,16.0
MSL_P-10,10.0,2.0,11.0,15.0,12.0,18.0,1.0,19.0,8.0,22.0,17.0,24.0,14.0,6.0,7.0,21.0,9.0,3.0,23.0,20.0,4.0,5.0,13.0,16.0
MSL_P-11,11.0,2.0,10.0,15.0,13.0,16.0,1.0,18.0,7.0,20.0,17.0,24.0,12.0,5.0,9.0,22.0,8.0,6.0,23.0,21.0,3.0,4.0,14.0,19.0
MSL_P-14,10.0,2.0,11.0,15.0,12.0,19.0,1.0,18.0,7.0,21.0,17.0,24.0,14.0,6.0,8.0,22.0,9.0,4.0,23.0,20.0,3.0,5.0,13.0,16.0
MSL_P-15,11.0,2.0,10.0,14.0,15.0,16.0,1.0,18.0,7.0,20.0,17.0,24.0,12.0,4.0,9.0,22.0,8.0,5.0,23.0,21.0,3.0,6.0,13.0,19.0
MSL_S-2,7.0,2.0,9.0,8.0,12.0,18.0,1.0,19.0,6.0,23.0,10.0,24.0,17.0,14.0,11.0,20.0,15.0,3.0,22.0,21.0,4.0,5.0,13.0,16.0
MSL_T-12,18.0,1.0,11.0,14.0,13.0,12.0,2.0,16.0,7.0,19.0,17.0,21.0,10.0,5.0,9.0,22.0,8.0,6.0,23.0,24.0,3.0,4.0,15.0,20.0
MSL_T-13,15.0,1.0,11.0,14.0,16.0,13.0,2.0,17.0,7.0,19.0,18.0,21.0,10.0,4.0,9.0,24.0,6.0,8.0,23.0,22.0,3.0,5.0,12.0,20.0
MSL_T-4,8.0,2.0,11.0,13.0,14.0,18.0,1.0,20.0,5.0,23.0,15.0,24.0,16.0,9.0,7.0,22.0,10.0,3.0,21.0,19.0,4.0,6.0,12.0,17.0
MSL_T-5,8.0,2.0,14.0,11.0,10.0,20.0,1.0,18.0,5.0,23.0,17.0,24.0,16.0,9.0,7.0,22.0,13.0,3.0,21.0,19.0,4.0,6.0,12.0,15.0
MSL_T-8,7.0,2.0,9.0,10.0,11.0,18.0,1.0,19.0,6.0,23.0,12.0,24.0,16.0,14.0,8.0,20.0,15.0,3.0,22.0,21.0,4.0,5.0,13.0,17.0
OPPORTUNITY_S1-ADL2,20.0,1.0,23.0,6.0,16.0,4.0,5.0,8.0,7.0,12.0,13.0,21.0,2.0,9.0,19.0,24.0,10.0,17.0,22.0,15.0,3.0,11.0,14.0,18.0
OPPORTUNITY_S1-ADL3,20.0,1.0,23.0,5.0,15.0,3.0,6.0,7.0,8.0,10.0,13.0,21.0,2.0,9.0,16.0,24.0,12.0,17.0,22.0,18.0,4.0,11.0,14.0,19.0
OPPORTUNITY_S1-ADL4,21.0,1.0,23.0,6.0,17.0,4.0,5.0,8.0,7.0,11.0,13.0,20.0,2.0,9.0,15.0,24.0,10.0,16.0,22.0,19.0,3.0,12.0,14.0,18.0
OPPORTUNITY_S1-ADL5,20.0,1.0,23.0,6.0,15.0,3.0,5.0,7.0,8.0,11.0,13.0,22.0,2.0,9.0,19.0,24.0,10.0,18.0,21.0,17.0,4.0,12.0,14.0,16.0
OPPORTUNITY_S2-ADL1,21.0,1.0,23.0,8.0,17.0,4.0,6.0,9.0,7.0,12.0,16.0,18.0,2.0,5.0,15.0,24.0,10.0,14.0,22.0,19.0,3.0,11.0,13.0,20.0
OPPORTUNITY_S2-ADL2,21.0,1.0,23.0,5.0,15.0,3.0,7.0,6.0,8.0,10.0,13.0,20.0,2.0,9.0,18.0,24.0,11.0,16.0,22.0,19.0,4.0,12.0,14.0,17.0
OPPORTUNITY_S3-ADL3,21.0,1.0,23.0,5.0,17.0,3.0,9.0,6.0,7.0,10.0,14.0,18.0,2.0,8.0,15.0,24.0,12.0,16.0,22.0,20.0,4.0,11.0,13.0,19.0
OPPORTUNITY_S3-ADL4,21.0,1.0,23.0,5.0,16.0,3.0,7.0,6.0,9.0,10.0,13.0,19.0,2.0,8.0,15.0,24.0,12.0,17.0,22.0,20.0,4.0,11.0,14.0,18.0
OPPORTUNITY_S3-ADL5,20.0,1.0,23.0,5.0,17.0,3.0,8.0,6.0,7.0,12.0,13.0,21.0,2.0,9.0,16.0,24.0,11.0,15.0,22.0,18.0,4.0,10.0,14.0,19.0
OPPORTUNITY_S4-ADL2,22.0,1.0,23.0,5.0,16.0,3.0,8.0,6.0,7.0,11.0,13.0,20.0,2.0,9.0,15.0,24.0,12.0,17.0,21.0,18.0,4.0,10.0,14.0,19.0
OPPORTUNITY_S4-ADL3,22.0,1.0,23.0,6.0,17.0,3.0,8.0,5.0,7.0,9.0,13.0,20.0,2.0,11.0,16.0,24.0,12.0,15.0,21.0,19.0,4.0,10.0,14.0,18.0
OPPORTUNITY_S4-ADL4,22.0,1.0,23.0,6.0,16.0,3.0,8.0,5.0,7.0,11.0,15.0,18.0,2.0,9.0,14.0,24.0,12.0,17.0,21.0,19.0,4.0,10.0,13.0,20.0
OPPORTUNITY_S4-ADL5,22.0,1.0,23.0,7.0,17.0,3.0,9.0,4.0,8.0,11.0,14.0,18.0,2.0,6.0,15.0,24.0,12.0,16.0,21.0,20.0,5.0,10.0,13.0,19.0
PSM,23.0,1.0,13.0,9.0,21.0,2.0,18.0,7.0,8.0,6.0,3.0,16.0,4.0,10.0,14.0,20.0,5.0,17.0,22.0,24.0,11.0,12.0,15.0,19.0
SMAP_A-1,10.0,2.0,12.0,14.0,3.0,20.0,1.0,22.0,9.0,23.0,13.0,24.0,19.0,16.0,4.0,17.0,21.0,5.0,18.0,15.0,7.0,6.0,8.0,11.0
SMAP_A-2,11.0,2.0,4.0,15.0,10.0,21.0,1.0,22.0,7.0,23.0,13.0,24.0,20.0,14.0,6.0,18.0,16.0,5.0,19.0,17.0,3.0,8.0,9.0,12.0
SMAP_A-3,8.0,2.0,3.0,14.0,11.0,21.0,1.0,22.0,7.0,23.0,15.0,24.0,19.0,13.0,6.0,18.0,16.0,5.0,20.0,17.0,4.0,9.0,10.0,12.0
SMAP_A-4,11.0,2.0,3.0,15.0,10.0,21.0,1.0,22.0,7.0,23.0,14.0,24.0,19.0,13.0,6.0,17.0,16.0,5.0,20.0,18.0,4.0,8.0,9.0,12.0
SMAP_A-5,9.0,2.0,12.0,13.0,19.0,14.0,1.0,16.0,6.0,18.0,17.0,21.0,11.0,3.0,10.0,22.0,5.0,7.0,23.0,24.0,4.0,8.0,15.0,20.0
SMAP_A-6,9.0,1.0,13.0,12.0,19.0,14.0,2.0,17.0,6.0,18.0,15.0,21.0,10.0,4.0,11.0,22.0,5.0,7.0,23.0,24.0,3.0,8.0,16.0,20.0
SMAP_A-8,9.0,1.0,5.0,18.0,15.0,13.0,2.0,19.0,6.0,20.0,16.0,24.0,12.0,3.0,10.0,21.0,8.0,7.0,22.0,23.0,4.0,11.0,14.0,17.0
SMAP_A-9,11.0,1.0,5.0,18.0,16.0,13.0,2.0,19.0,6.0,20.0,15.0,24.0,12.0,4.0,8.0,21.0,7.0,9.0,22.0,23.0,3.0,10.0,14.0,17.0
SMAP_B-1,9.0,2.0,13.0,15.0,11.0,16.0,1.0,19.0,6.0,20.0,17.0,24.0,14.0,5.0,7.0,22.0,10.0,4.0,23.0,21.0,3.0,8.0,12.0,18.0
SMAP_D-11,11.0,2.0,7.0,15.0,14.0,17.0,1.0,19.0,6.0,20.0,18.0,24.0,13.0,4.0,10.0,23.0,9.0,5.0,22.0,21.0,3.0,8.0,12.0,16.0
SMAP_D-1,11.0,2.0,9.0,15.0,8.0,21.0,1.0,22.0,10.0,23.0,14.0,24.0,18.0,13.0,4.0,20.0,17.0,5.0,19.0,16.0,3.0,6.0,7.0,12.0
SMAP_D-2,11.0,2.0,10.0,14.0,9.0,21.0,1.0,22.0,6.0,23.0,13.0,24.0,19.0,15.0,3.0,18.0,20.0,4.0,17.0,16.0,5.0,7.0,8.0,12.0
SMAP_D-3,11.0,2.0,3.0,14.0,9.0,21.0,1.0,22.0,8.0,23.0,12.0,24.0,19.0,15.0,5.0,18.0,16.0,6.0,20.0,17.0,4.0,7.0,10.0,13.0
SMAP_D-4,10.0,2.0,3.0,14.0,11.0,21.0,1.0,22.0,7.0,23.0,13.0,24.0,20.0,15.0,6.0,19.0,16.0,5.0,18.0,17.0,4.0,8.0,9.0,12.0
SMAP_D-5,11.0,2.0,4.0,13.0,6.0,21.0,1.0,22.0,9.0,23.0,14.0,24.0,19.0,15.0,7.0,20.0,17.0,5.0,18.0,16.0,3.0,10.0,8.0,12.0
SMAP_D-6,11.0,2.0,4.0,13.0,6.0,21.0,1.0,22.0,9.0,23.0,14.0,24.0,19.0,15.0,7.0,20.0,17.0,5.0,18.0,16.0,3.0,10.0,8.0,12.0
SMAP_D-7,11.0,2.0,9.0,14.0,7.0,21.0,1.0,22.0,10.0,23.0,13.0,24.0,19.0,16.0,5.0,18.0,20.0,4.0,17.0,15.0,3.0,8.0,6.0,12.0
SMAP_D-8,12.0,2.0,16.0,15.0,7.0,14.0,1.0,17.0,5.0,20.0,19.0,24.0,10.0,4.0,8.0,23.0,13.0,6.0,22.0,21.0,3.0,9.0,11.0,18.0
SMAP_D-9,8.0,2.0,15.0,12.0,10.0,20.0,1.0,18.0,5.0,23.0,17.0,24.0,16.0,9.0,4.0,22.0,13.0,3.0,21.0,19.0,6.0,7.0,11.0,14.0
SMAP_E-10,12.0,2.0,10.0,13.0,4.0,21.0,1.0,22.0,9.0,23.0,14.0,24.0,18.0,15.0,3.0,17.0,20.0,5.0,19.0,16.0,6.0,7.0,8.0,11.0
SMAP_E-11,12.0,2.0,10.0,14.0,3.0,20.0,1.0,22.0,9.0,23.0,13.0,24.0,17.0,15.0,4.0,18.0,21.0,5.0,19.0,16.0,7.0,6.0,8.0,11.0
SMAP_E-12,12.0,2.0,11.0,14.0,4.0,20.0,1.0,22.0,9.0,23.0,13.0,24.0,18.0,15.0,3.0,17.0,21.0,5.0,19.0,16.0,7.0,6.0,8.0,10.0
SMAP_E-13,11.0,2.0,4.0,14.0,10.0,21.0,1.0,22.0,8.0,23.0,13.0,24.0,18.0,15.0,5.0,20.0,16.0,6.0,19.0,17.0,3.0,7.0,9.0,12.0
SMAP_E-1,10.0,2.0,12.0,14.0,4.0,20.0,1.0,22.0,9.0,23.0,13.0,24.0,17.0,15.0,3.0,19.0,21.0,5.0,18.0,16.0,7.0,6.0,8.0,11.0
SMAP_E-2,12.0,2.0,5.0,15.0,9.0,21.0,1.0,22.0,10.0,23.0,14.0,24.0,18.0,11.0,3.0,19.0,16.0,6.0,20.0,17.0,4.0,7.0,8.0,13.0
SMAP_E-3,10.0,2.0,5.0,14.0,11.0,21.0,1.0,22.0,8.0,23.0,15.0,24.0,18.0,12.0,4.0,19.0,16.0,6.0,20.0,17.0,3.0,7.0,9.0,13.0
SMAP_E-4,13.0,2.0,4.0,15.0,10.0,20.0,1.0,22.0,8.0,23.0,14.0,24.0,17.0,11.0,5.0,19.0,16.0,6.0,21.0,18.0,3.0,7.0,9.0,12.0
SMAP_E-5,10.0,2.0,12.0,13.0,4.0,21.0,1.0,22.0,8.0,23.0,14.0,24.0,17.0,15.0,3.0,20.0,19.0,5.0,18.0,16.0,6.0,7.0,9.0,11.0
SMAP_E-6,10.0,2.0,12.0,13.0,3.0,21.0,1.0,22.0,9.0,23.0,14.0,24.0,17.0,15.0,4.0,18.0,20.0,5.0,19.0,16.0,7.0,6.0,8.0,11.0
SMAP_E-7,12.0,2.0,10.0,14.0,6.0,21.0,1.0,22.0,9.0,23.0,15.0,24.0,18.0,13.0,3.0,19.0,17.0,5.0,20.0,16.0,4.0,7.0,8.0,11.0
SMAP_E-8,13.0,2.0,5.0,14.0,8.0,21.0,1.0,22.0,10.0,23.0,15.0,24.0,18.0,11.0,3.0,19.0,16.0,6.0,20.0,17.0,4.0,7.0,9.0,12.0
SMAP_E-9,12.0,2.0,6.0,15.0,9.0,20.0,1.0,22.0,8.0,23.0,14.0,24.0,17.0,11.0,5.0,18.0,16.0,4.0,21.0,19.0,3.0,7.0,10.0,13.0
SMAP_F-1,11.0,1.0,8.0,13.0,16.0,17.0,2.0,19.0,5.0,20.0,14.0,24.0,15.0,4.0,10.0,23.0,9.0,6.0,21.0,22.0,3.0,7.0,12.0,18.0
SMAP_F-2,12.0,1.0,6.0,16.0,17.0,13.0,2.0,18.0,5.0,19.0,15.0,24.0,11.0,4.0,10.0,23.0,7.0,9.0,21.0,22.0,3.0,8.0,14.0,20.0
SMAP_F-3,16.0,1.0,3.0,14.0,11.0,17.0,2.0,22.0,8.0,23.0,13.0,24.0,18.0,9.0,4.0,19.0,15.0,10.0,21.0,20.0,5.0,6.0,7.0,12.0
SMAP_G-1,14.0,2.0,3.0,15.0,12.0,18.0,1.0,22.0,8.0,23.0,11.0,24.0,19.0,10.0,5.0,17.0,16.0,6.0,21.0,20.0,4.0,7.0,9.0,13.0
SMAP_G-2,12.0,2.0,11.0,14.0,5.0,21.0,1.0,22.0,6.0,23.0,13.0,24.0,19.0,15.0,4.0,18.0,20.0,3.0,17.0,16.0,7.0,8.0,9.0,10.0
SMAP_G-3,9.0,2.0,11.0,14.0,3.0,20.0,1.0,22.0,8.0,23.0,13.0,24.0,19.0,16.0,5.0,18.0,21.0,4.0,17.0,15.0,6.0,7.0,10.0,12.0
SMAP_G-6,12.0,1.0,5.0,17.0,16.0,13.0,2.0,20.0,7.0,19.0,15.0,24.0,14.0,4.0,8.0,21.0,6.0,10.0,23.0,22.0,3.0,9.0,11.0,18.0
SMAP_G-7,6.0,2.0,9.0,13.0,16.0,14.0,1.0,18.0,8.0,21.0,19.0,22.0,11.0,3.0,12.0,20.0,4.0,7.0,23.0,24.0,5.0,10.0,15.0,17.0
SMAP_P-1,12.0,2.0,3.0,14.0,10.0,21.0,1.0,22.0,8.0,23.0,13.0,24.0,18.0,15.0,5.0,19.0,16.0,7.0,20.0,17.0,4.0,6.0,9.0,11.0
SMAP_P-2,11.0,2.0,6.0,14.0,8.0,22.0,1.0,21.0,9.0,23.0,15.0,24.0,18.0,13.0,4.0,20.0,16.0,5.0,19.0,17.0,3.0,7.0,10.0,12.0
SMAP_P-3,12.0,2.0,8.0,14.0,7.0,21.0,1.0,22.0,10.0,23.0,15.0,24.0,18.0,13.0,4.0,20.0,17.0,5.0,19.0,16.0,3.0,6.0,9.0,11.0
SMAP_P-4,10.0,2.0,15.0,14.0,8.0,17.0,1.0,19.0,4.0,21.0,18.0,24.0,12.0,7.0,6.0,23.0,13.0,5.0,22.0,20.0,3.0,9.0,11.0,16.0
SMAP_S-1,11.0,2.0,5.0,14.0,10.0,21.0,1.0,22.0,6.0,23.0,13.0,24.0,19.0,15.0,8.0,20.0,17.0,4.0,18.0,16.0,3.0,7.0,9.0,12.0
SMAP_T-1,11.0,1.0,5.0,18.0,15.0,14.0,2.0,19.0,6.0,20.0,17.0,24.0,13.0,3.0,8.0,21.0,7.0,9.0,23.0,22.0,4.0,10.0,12.0,16.0
SMAP_T-2,11.0,1.0,5.0,18.0,14.0,15.0,2.0,20.0,8.0,19.0,17.0,24.0,13.0,3.0,6.0,21.0,7.0,10.0,23.0,22.0,4.0,9.0,12.0,16.0
SMAP_T-3,10.0,2.0,13.0,19.0,9.0,15.0,1.0,18.0,7.0,20.0,17.0,24.0,11.0,3.0,8.0,21.0,12.0,6.0,23.0,22.0,4.0,5.0,14.0,16.0
SMD_machine-1-2,20.0,1.0,9.0,12.0,14.0,4.0,3.0,18.0,10.0,15.0,7.0,24.0,11.0,6.0,8.0,21.0,13.0,16.0,22.0,23.0,2.0,5.0,17.0,19.0
SMD_machine-1-3,19.0,1.0,18.0,9.0,16.0,11.0,6.0,17.0,8.0,14.0,15.0,21.0,10.0,2.0,7.0,22.0,4.0,12.0,24.0,23.0,3.0,5.0,13.0,20.0
SMD_machine-1-4,20.0,1.0,16.0,9.0,15.0,10.0,5.0,17.0,8.0,13.0,18.0,21.0,11.0,2.0,7.0,22.0,4.0,12.0,24.0,23.0,3.0,6.0,14.0,19.0
SMD_machine-1-6,22.0,1.0,14.0,8.0,18.0,4.0,15.0,10.0,9.0,11.0,12.0,20.0,7.0,2.0,13.0,21.0,5.0,16.0,23.0,24.0,3.0,6.0,17.0,19.0
SMD_machine-1-7,20.0,1.0,13.0,11.0,19.0,9.0,8.0,17.0,7.0,16.0,14.0,21.0,10.0,2.0,6.0,23.0,4.0,12.0,24.0,22.0,3.0,5.0,15.0,18.0
SMD_machine-1-8,20.0,1.0,9.0,6.0,18.0,2.0,14.0,13.0,8.0,11.0,3.0,23.0,5.0,7.0,17.0,21.0,12.0,15.0,22.0,24.0,4.0,10.0,16.0,19.0
SMD_machine-2-1,20.0,1.0,13.0,9.0,18.0,2.0,6.0,14.0,8.0,12.0,10.0,21.0,5.0,4.0,15.0,22.0,11.0,16.0,23.0,24.0,3.0,7.0,17.0,19.0
SMD_machine-2-2,20.0,1.0,16.0,8.0,13.0,12.0,2.0,18.0,7.0,19.0,15.0,24.0,14.0,6.0,5.0,23.0,10.0,11.0,22.0,21.0,3.0,4.0,9.0,17.0
SMD_machine-2-3,20.0,1.0,11.0,14.0,10.0,3.0,2.0,18.0,12.0,15.0,8.0,23.0,7.0,4.0,9.0,21.0,17.0,13.0,22.0,24.0,5.0,6.0,16.0,19.0
SMD_machine-2-4,20.0,1.0,15.0,8.0,18.0,2.0,9.0,13.0,11.0,12.0,6.0,21.0,5.0,3.0,14.0,22.0,10.0,17.0,23.0,24.0,4.0,7.0,16.0,19.0
SMD_machine-2-5,19.0,1.0,13.0,9.0,16.0,5.0,4.0,18.0,8.0,14.0,12.0,22.0,10.0,2.0,11.0,21.0,7.0,15.0,24.0,23.0,3.0,6.0,17.0,20.0
SMD_machine-2-7,19.0,1.0,11.0,10.0,18.0,2.0,8.0,16.0,9.0,14.0,3.0,24.0,7.0,5.0,15.0,21.0,12.0,13.0,22.0,23.0,4.0,6.0,17.0,20.0
SMD_machine-2-9,20.0,1.0,12.0,8.0,18.0,3.0,13.0,16.0,6.0,14.0,7.0,24.0,11.0,2.0,9.0,21.0,10.0,17.0,22.0,23.0,4.0,5.0,15.0,19.0
SMD_machine-3-10,20.0,1.0,10.0,7.0,18.0,2.0,14.0,16.0,6.0,13.0,4.0,24.0,9.0,5.0,11.0,23.0,12.0,17.0,21.0,22.0,3.0,8.0,15.0,19.0
SMD_machine-3-2,20.0,1.0,13.0,9.0,18.0,2.0,11.0,14.0,8.0,10.0,5.0,21.0,7.0,6.0,15.0,22.0,12.0,16.0,23.0,24.0,3.0,4.0,17.0,19.0
SMD_machine-3-3,20.0,1.0,15.0,7.0,17.0,2.0,13.0,11.0,9.0,8.0,4.0,21.0,5.0,3.0,14.0,24.0,10.0,19.0,23.0,22.0,6.0,12.0,16.0,18.0
SMD_machine-3-5,20.0,1.0,10.0,12.0,18.0,5.0,14.0,16.0,8.0,13.0,6.0,21.0,11.0,2.0,9.0,22.0,7.0,15.0,23.0,24.0,3.0,4.0,17.0,19.0
SMD_machine-3-6,19.0,1.0,12.0,7.0,18.0,3.0,11.0,14.0,6.0,13.0,10.0,21.0,9.0,4.0,15.0,22.0,5.0,16.0,23.0,24.0,2.0,8.0,17.0,20.0
SVDB_800,20.0,1.0,2.0,10.0,18.0,5.0,7.0,16.0,12.0,14.0,17.0,22.0,9.0,3.0,11.0,8.0,13.0,21.0,24.0,23.0,4.0,6.0,15.0,19.0
SVDB_801,20.0,1.0,8.0,6.0,18.0,4.0,3.0,10.0,13.0,11.0,21.0,19.0,9.0,5.0,16.0,15.0,7.0,23.0,22.0,24.0,2.0,14.0,12.0,17.0
SVDB_802,14.0,1.0,3.0,5.0,16.0,11.0,4.0,13.0,7.0,15.0,19.0,22.0,6.0,9.0,17.0,10.0,8.0,20.0,23.0,24.0,2.0,12.0,18.0,21.0
SVDB_803,22.0,1.0,4.0,12.0,17.0,6.0,3.0,15.0,13.0,16.0,21.0,20.0,9.0,2.0,11.0,10.0,7.0,19.0,23.0,24.0,5.0,8.0,14.0,18.0
SVDB_804,9.0,1.0,4.0,10.0,15.0,12.0,2.0,16.0,6.0,17.0,18.0,22.0,5.0,7.0,14.0,13.0,11.0,19.0,24.0,23.0,3.0,8.0,20.0,21.0
SVDB_805,9.0,1.0,4.0,8.0,10.0,19.0,2.0,17.0,7.0,18.0,14.0,21.0,6.0,16.0,11.0,13.0,15.0,12.0,24.0,23.0,3.0,5.0,20.0,22.0
SVDB_807,22.0,1.0,2.0,8.0,18.0,9.0,7.0,16.0,12.0,15.0,17.0,21.0,13.0,5.0,11.0,6.0,10.0,19.0,23.0,24.0,3.0,4.0,14.0,20.0
SVDB_808,20.0,1.0,4.0,6.0,15.0,9.0,5.0,14.0,10.0,16.0,17.0,21.0,7.0,12.0,8.0,13.0,11.0,18.0,23.0,24.0,2.0,3.0,19.0,22.0
