dataset,top3_prediction,top3_ground_truth
smap_g-7,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OmniAnomaly', 'PCA', 'IForest']"
smap_p-1,"['OmniAnomaly', 'PCA', 'KMeansAD']","['IForest', 'COPOD', 'MCD']"
smap_p-2,"['IForest', 'MCD', 'ALLM4TS']","['KMeansAD', 'MCD', 'OCSVM']"
smap_p-3,"['IForest', 'MCD', 'ALLM4TS']","['KMeansAD', 'IForest', 'CBLOF']"
smap_p-4,"['MCD', 'IForest', 'ALLM4TS']","['IForest', 'OFA', 'OmniAnomaly']"
smap_s-1,"['IForest', 'KMeansAD', 'ALLM4TS']","['IForest', 'ALLM4TS', 'RobustPCA']"
smap_t-1,"['MCD', 'IForest', 'ALLM4TS']","['ALLM4TS', 'RobustPCA', 'Donut']"
smap_t-2,"['MCD', 'IForest', 'ALLM4TS']","['OFA', 'RobustPCA', 'PCA']"
smap_t-3,"['MCD', 'IForest', 'ALLM4TS']","['OFA', 'IForest', 'PCA']"
smd_machine-1-2,"['KMeansAD', 'CNN', 'LOF']","['OCSVM', 'CBLOF', 'OmniAnomaly']"
smd_machine-1-3,"['OmniAnomaly', 'PCA', 'MCD']","['KMeansAD', 'OFA', 'TimesNet']"
smd_machine-1-4,"['OmniAnomaly', 'PCA', 'KMeansAD']","['KMeansAD', 'OFA', 'FITS']"
smd_machine-1-6,"['OmniAnomaly', 'MCD', 'PCA']","['AutoEncoder', 'OCSVM', 'EIF']"
smd_machine-1-7,"['OmniAnomaly', 'PCA', 'MCD']","['KMeansAD', 'PCA', 'OmniAnomaly']"
smd_machine-1-8,"['OmniAnomaly', 'PCA', 'MCD']","['USAD', 'CNN', 'LSTMAD']"
smd_machine-2-1,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'OmniAnomaly', 'PCA']"
smd_machine-2-2,"['OmniAnomaly', 'PCA', 'MCD']","['RobustPCA', 'OmniAnomaly', 'PCA']"
smd_machine-2-3,"['MCD', 'CNN', 'LOF']","['KMeansAD', 'PCA', 'OmniAnomaly']"
smd_machine-2-4,"['OmniAnomaly', 'PCA', 'MCD']","['USAD', 'MCD', 'OmniAnomaly']"
smd_machine-2-5,"['OmniAnomaly', 'PCA', 'MCD']","['KMeansAD', 'USAD', 'LSTMAD']"
smd_machine-2-7,"['OmniAnomaly', 'PCA', 'MCD']","['USAD', 'CBLOF', 'TranAD']"
smd_machine-2-9,"['OmniAnomaly', 'KMeansAD', 'ALLM4TS']","['AutoEncoder', 'KMeansAD', 'OCSVM']"
smd_machine-3-10,"['OmniAnomaly', 'PCA', 'MCD']","['CBLOF', 'EIF', 'TranAD']"
smd_machine-3-2,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'OFA']"
smd_machine-3-3,"['OmniAnomaly', 'MCD', 'PCA']","['CBLOF', 'KNN', 'KMeansAD']"
smd_machine-3-5,"['KMeansAD', 'CNN', 'LOF']","['USAD', 'TranAD', 'CNN']"
smd_machine-3-6,"['OmniAnomaly', 'PCA', 'MCD']","['MCD', 'CNN', 'EIF']"
svdb_800,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_801,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'ALLM4TS']"
svdb_802,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_803,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OmniAnomaly', 'PCA', 'ALLM4TS']"
svdb_804,"['OmniAnomaly', 'PCA', 'KMeansAD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_805,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_806,"['PCA', 'OmniAnomaly', 'KMeansAD']","['OFA', 'IForest', 'LSTMAD']"
svdb_807,"['OmniAnomaly', 'MCD', 'PCA']","['IForest', 'PCA', 'OmniAnomaly']"
svdb_808,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_809,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_810,"['OmniAnomaly', 'PCA', 'KMeansAD']","['PCA', 'OmniAnomaly', 'ALLM4TS']"
svdb_811,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'ALLM4TS', 'CNN']"
svdb_812,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_820,"['OmniAnomaly', 'PCA', 'KMeansAD']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_821,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'CNN']"
svdb_822,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_823,"['OFA', 'KMeansAD', 'ALLM4TS']","['OmniAnomaly', 'PCA', 'IForest']"
svdb_824,"['PCA', 'KMeansAD', 'ALLM4TS']","['OFA', 'TimesNet', 'PCA']"
svdb_825,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'FITS', 'LSTMAD']"
svdb_826,"['OmniAnomaly', 'KMeansAD', 'ALLM4TS']","['OmniAnomaly', 'PCA', 'FITS']"
svdb_827,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_828,"['PCA', 'KMeansAD', 'ALLM4TS']","['OFA', 'ALLM4TS', 'OmniAnomaly']"
svdb_829,"['PCA', 'KMeansAD', 'ALLM4TS']","['OmniAnomaly', 'PCA', 'Donut']"
svdb_840,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OmniAnomaly', 'PCA', 'OFA']"
svdb_841,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_842,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'LSTMAD', 'KMeansAD']"
svdb_843,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'LSTMAD', 'TimesNet']"
svdb_844,"['PCA', 'KMeansAD', 'ALLM4TS']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_845,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'KMeansAD', 'IForest']"
svdb_846,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'ALLM4TS', 'KMeansAD']"
svdb_847,"['OmniAnomaly', 'PCA', 'MCD']","['OmniAnomaly', 'PCA', 'OFA']"
svdb_848,"['PCA', 'KMeansAD', 'ALLM4TS']","['KMeansAD', 'PCA', 'OmniAnomaly']"
svdb_849,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'ALLM4TS', 'PCA']"
svdb_850,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_851,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OmniAnomaly', 'PCA', 'ALLM4TS']"
svdb_852,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'CNN', 'OmniAnomaly']"
svdb_853,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_854,"['OmniAnomaly', 'PCA', 'KMeansAD']","['IForest', 'OmniAnomaly', 'PCA']"
svdb_855,"['OmniAnomaly', 'MCD', 'PCA']","['OmniAnomaly', 'PCA', 'IForest']"
svdb_856,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_857,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_858,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_859,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_860,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'TimesNet']"
svdb_861,"['OmniAnomaly', 'PCA', 'MCD']","['IForest', 'PCA', 'OmniAnomaly']"
svdb_862,"['OmniAnomaly', 'PCA', 'MCD']","['IForest', 'AnomalyTransformer', 'FITS']"
svdb_863,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'PCA', 'OmniAnomaly']"
svdb_864,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'PCA', 'OmniAnomaly']"
svdb_865,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_866,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'ALLM4TS', 'KMeansAD']"
svdb_867,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'KMeansAD', 'IForest']"
svdb_868,"['OmniAnomaly', 'PCA', 'MCD']","['IForest', 'CNN', 'OFA']"
svdb_869,"['OmniAnomaly', 'PCA', 'KMeansAD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_870,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_871,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_872,"['OmniAnomaly', 'PCA', 'MCD']","['OmniAnomaly', 'PCA', 'ALLM4TS']"
svdb_873,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_874,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'ALLM4TS', 'OmniAnomaly']"
svdb_875,"['OmniAnomaly', 'PCA', 'MCD']","['IForest', 'OFA', 'ALLM4TS']"
svdb_876,"['PCA', 'KMeansAD', 'ALLM4TS']","['FITS', 'IForest', 'Donut']"
svdb_877,"['PCA', 'KMeansAD', 'ALLM4TS']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_878,"['OmniAnomaly', 'PCA', 'MCD']","['OmniAnomaly', 'PCA', 'OFA']"
svdb_879,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_880,"['OmniAnomaly', 'PCA', 'MCD']","['IForest', 'KMeansAD', 'OFA']"
svdb_881,"['OmniAnomaly', 'PCA', 'KMeansAD']","['IForest', 'PCA', 'OmniAnomaly']"
svdb_882,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_883,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_884,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_885,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'OFA']"
svdb_886,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'CNN', 'IForest']"
svdb_887,"['OmniAnomaly', 'PCA', 'KMeansAD']","['PCA', 'OmniAnomaly', 'ALLM4TS']"
svdb_888,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'OmniAnomaly', 'PCA']"
svdb_889,"['OmniAnomaly', 'MCD', 'PCA']","['IForest', 'OmniAnomaly', 'PCA']"
svdb_890,"['OmniAnomaly', 'PCA', 'MCD']","['OmniAnomaly', 'PCA', 'OFA']"
svdb_891,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_892,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'IForest']"
svdb_893,"['OmniAnomaly', 'PCA', 'MCD']","['OmniAnomaly', 'PCA', 'CNN']"
svdb_894,"['OmniAnomaly', 'PCA', 'MCD']","['PCA', 'OmniAnomaly', 'OFA']"
swan_sf,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'RobustPCA', 'OmniAnomaly']"
